Year,Month,Nino12,Nino3,Nino34,Nino4,ONI,Condition,SOI,Subsurface_Anomaly
1997,8,26.2,30.0,29.6,29.3,2.5,Super_El_Nino,-20.8,3.2
1997,9,26.3,30.1,29.7,29.4,2.5,Super_El_Nino,-21.2,3.2
1997,10,26.2,29.8,29.5,29.2,2.4,Super_El_Nino,-18.5,3.0
1997,11,26.0,29.5,29.2,29.0,2.2,Super_El_Nino,-15.2,2.7
1997,12,25.8,29.2,28.8,28.8,2.0,Super_El_Nino,-11.8,2.3
2015,1,23.5,27.5,27.8,28.2,0.8,El_Nino,-5.2,1.5
2015,2,24.0,28.0,28.2,28.5,1.2,El_Nino,-8.5,2.0
2015,3,24.5,28.5,28.5,28.8,1.5,El_Nino,-11.2,2.3
2015,4,25.0,28.8,28.8,29.0,1.8,El_Nino,-14.5,2.6
2015,5,25.5,29.2,29.2,29.2,2.1,Super_El_Nino,-16.8,2.8
2015,6,25.8,29.5,29.5,29.2,2.3,Super_El_Nino,-18.5,2.9
2015,7,26.0,29.8,29.6,29.2,2.4,Super_El_Nino,-19.8,3.0
2015,8,26.2,30.0,29.7,29.3,2.6,Super_El_Nino,-20.5,3.1
2015,9,26.0,29.8,29.5,29.0,2.4,Super_El_Nino,-19.2,2.8
2015,10,25.8,29.5,29.2,28.8,2.2,Super_El_Nino,-16.5,2.5
2015,11,25.5,29.2,28.8,28.5,1.9,El_Nino,-12.8,2.1
2015,12,25.2,28.8,28.5,28.2,1.6,El_Nino,-8.5,1.7
2016,1,25.0,28.5,28.2,28.0,1.3,El_Nino,-5.2,1.3
2016,2,24.8,28.2,27.8,27.8,1.0,El_Nino,-3.5,0.8
2016,3,24.5,27.8,27.5,27.5,0.6,El_Nino,-1.8,0.3
2016,4,24.2,27.5,27.0,27.2,0.2,Neutral,1.2,-0.2
2016,5,24.0,27.0,26.5,27.0,-0.2,Neutral,3.5,-0.5
2016,6,23.8,26.5,26.0,26.8,-0.5,La_Nina,6.2,-1.0
2016,7,23.5,26.2,25.5,26.5,-0.8,La_Nina,8.5,-1.3
2016,8,23.2,25.8,25.0,26.2,-1.0,La_Nina,10.2,-1.5
2016,9,23.0,25.5,24.8,26.0,-1.2,La_Nina,11.5,-1.7
2016,10,23.0,25.5,24.8,26.0,-1.1,La_Nina,10.8,-1.5
2016,11,23.2,25.8,25.0,26.2,-0.9,La_Nina,8.5,-1.2
2016,12,23.5,26.0,25.2,26.5,-0.6,Neutral,5.2,-0.8
2023,1,23.2,25.5,25.0,27.2,-0.7,La_Nina,6.5,-0.8
2023,2,23.0,25.2,24.8,27.0,-0.5,Neutral,4.2,-0.5
2023,3,23.5,25.8,25.5,27.2,-0.2,Neutral,2.5,-0.1
2023,4,24.2,26.5,26.2,27.5,0.2,Neutral,0.8,0.5
2023,5,25.0,27.2,27.0,27.8,0.7,El_Nino,-2.5,1.2
2023,6,25.5,27.8,27.5,28.0,1.1,El_Nino,-5.8,1.7
2023,7,26.0,28.2,28.0,28.2,1.5,El_Nino,-8.5,2.1
2023,8,26.2,28.5,28.2,28.3,1.7,El_Nino,-10.2,2.3
2023,9,26.5,28.8,28.5,28.5,1.9,El_Nino,-11.5,2.4
2023,10,26.5,28.8,28.5,28.5,2.0,Super_El_Nino,-12.2,2.5
2023,11,26.5,28.8,28.5,28.5,2.1,Super_El_Nino,-12.8,2.5
2023,12,26.2,28.5,28.2,28.2,2.0,Super_El_Nino,-11.5,2.3
2024,1,25.8,28.2,27.8,28.0,1.7,El_Nino,-8.5,2.0
2024,2,25.5,27.8,27.5,27.8,1.3,El_Nino,-5.2,1.5
2024,3,25.2,27.5,27.0,27.5,0.9,El_Nino,-2.8,0.8
2024,4,25.0,27.2,26.8,27.2,0.5,Neutral,0.5,0.2
2024,5,24.8,27.0,26.5,27.0,0.1,Neutral,2.5,-0.2
2024,6,24.5,26.8,26.2,26.8,-0.2,Neutral,4.8,-0.5
